,question,entities,resources,MuHeQA_Cand,MuHeQA_Rank,MuHeQA_Top1,MuHeQA_Top2,MuHeQA_Top3,Spotlight
948,who was born in kinnelon?,"['Kinnelon, New Jersey']","['Kinnelon,_New_Jersey']","['Kinnelon,_New_Jersey', '26th_Legislative_District_(New_Jersey)', 'WWPS-LP', 'Splitrock_Reservoir', 'Kinnelon_Public_Schools', 'Kitty_Ann_Mountain', 'Kurt_Allerman', 'Kinnelon_High_School', 'Smoke_Rise_(community)', 'Brett_Hearn']","['Kinnelon,_New_Jersey']","['Kinnelon,_New_Jersey']","['Kinnelon,_New_Jersey']","['Kinnelon,_New_Jersey']","['Kinnelon,_New_Jersey']"
949,who was in charge of story on jumanji,['Jumanji'],['Jumanji'],"['Jumanji', 'Jumanji:_The_Next_Level', 'Jumanji_(disambiguation)', 'Jumanji_(picture_book)', 'Jumanji:_Welcome_to_the_Jungle', 'Jumanji_2', 'Jumanji_(franchise)', 'B_Young', 'Junji_Nishimura', 'Junji_Ito']",['Jumanji'],['Jumanji'],['Jumanji'],['Jumanji'],['Jumanji']
950,name an album done by dashboard confessional,['Dashboard Confessional'],['Dashboard_Confessional'],"['Dashboard_Confessional', 'Crooked_Shadows', 'Dusk_and_Summer', 'The_Shade_of_Poison_Trees', 'Alter_the_Ending', 'Hands_Down_(song)', 'A_Mark,_a_Mission,_a_Brand,_a_Scar', 'MTV_Unplugged_2.0', ""Don't_Wait"", 'Cash_Cash']",['Dashboard_Confessional'],['Dashboard_Confessional'],['Dashboard_Confessional'],['Dashboard_Confessional'],['Dashboard_Confessional']
951,Where was albert huffstickler born,['Albert Huffstickler'],['Albert_Huffstickler'],['Albert_Huffstickler'],['Albert_Huffstickler'],['Albert_Huffstickler'],['Albert_Huffstickler'],['Albert_Huffstickler'],['Albert_Huffstickler']
952,who is the producer of the movie tigerland,['Tigerland'],['Tigerland'],"['Richmond_Football_Club', 'Tigerland', 'Louisiana_State_University_Tiger_Marching_Band', 'Florida–LSU_football_rivalry', 'Tigerland_India_Film_Festival', 'The_Timberland_Company', 'Justin_Timberlake', 'The_Legendary_Tigerman', 'Timberland,_Lincolnshire', 'Timberland_High_School_(Missouri)']",['Tigerland'],['Tigerland'],['Tigerland'],['Tigerland'],"['Record_producer', 'Tigerland']"
953,who directed mean girls,['Mean Girls'],['Mean_Girls'],"['Mean_Girls', 'List_of_The_Powerpuff_Girls_episodes', 'Airhead_(subculture)', 'Mean_Girls_2', 'Meanness', 'Rachel_Crow_(EP)', 'Mean_Girls_(musical)', 'Sharptooth', 'The_New_Batman_Adventures', 'Mean_Girl']",['Mean_Girls'],['Mean_Girls'],"['Mean_Girls', 'Mean_Girls_2']","['Mean_Girls', 'Mean_Girls_2']",[]
954,which label is the band azteca signed to,['Azteca (band)'],['Azteca_(band)'],"['Azteca_(band)', 'Mexibús', 'Azusa_High_School', 'Pete_Escovedo', 'Springfield_(The_Simpsons)', 'Aztec_Camera', ""Comin'_at_Ya!_(album)"", 'Roddy_Frame', 'Los_Caminantes', 'Coke_Escovedo']",['Azteca_(band)'],['Azteca_(band)'],['Azteca_(band)'],['Azteca_(band)'],['TV_Azteca']
955,what country is maiwa language spoken in,['Robert Anton Wilson'],['Robert_Anton_Wilson'],"['Robert_Anton_Wilson', 'List_of_24_characters', 'List_of_Oz_(TV_series)_characters', 'List_of_Grange_Hill_characters', 'The_Illuminatus!_Trilogy', ""Schrödinger's_Cat_Trilogy"", 'Malaclypse_the_Younger', 'Eight-circuit_model_of_consciousness', 'Illuminati:_New_World_Order', 'Sex,_Drugs_and_Magick']",['Robert_Anton_Wilson'],['Robert_Anton_Wilson'],['Robert_Anton_Wilson'],"['The_Illuminatus!_Trilogy', 'Robert_Anton_Wilson']","['Maiwa_language_(Papuan)', 'Language']"
956,What position does footballer chris brandon play?,['Chris Brandon'],['Chris_Brandon'],"['Chris_Brandon', 'Chris_Young_(outfielder)', 'List_of_Survivor_(American_TV_series)_contestants', 'Brandon_Hein', 'Jump5', 'Christian_Brando', 'List_of_Breaking_Bad_and_Better_Call_Saul_characters', 'Chris_Bootcheck', 'List_of_Neighbours_characters_(2017)', 'List_of_minor_planets:_15001–16000']",['Chris_Brandon'],['Chris_Brandon'],['Chris_Brandon'],['Chris_Brandon'],"['Association_football', 'Chris_Brandon']"
957,what event happened in old goa,['Old Goa'],['Old_Goa'],"['Republican_Party_(United_States)', 'Goa_Medical_College', 'Old_Goa', 'British_Primitive_goat', 'Old_Turkic_script', 'National_Highway_66_(India)', 'Se_Cathedral', 'Old_High_German', 'Old_Town_Road', ""List_of_Dexter's_Laboratory_episodes""]",['Old_Goa'],['Old_Goa'],['Old_Goa'],['Old_Goa'],[]
958,what music is played in the one for all album,['One for All (Kazumi Watanabe album)'],['One_for_All_(Kazumi_Watanabe_album)'],['One_for_All_(Kazumi_Watanabe_album)'],['One_for_All_(Kazumi_Watanabe_album)'],['One_for_All_(Kazumi_Watanabe_album)'],['One_for_All_(Kazumi_Watanabe_album)'],['One_for_All_(Kazumi_Watanabe_album)'],[]
959,What genre is twice-told tales,['Twice-Told Tales'],['Twice-Told_Tales'],"['Twice-Told_Tales', 'Twice-Told_Tales_(film)', 'Twice_Told_Tales_(album)', 'The_Snow-Image,_and_Other_Twice-Told_Tales', 'Sidney_Salkow', ""The_Wife_of_Bath's_Tale"", 'Nathaniel_Hawthorne', 'The_May-Pole_of_Merry_Mount', ""The_Minister's_Black_Veil"", 'My_Kinsman,_Major_Molineux']",['Twice-Told_Tales'],['Twice-Told_Tales'],['Twice-Told_Tales'],['Twice-Told_Tales'],['Twice-Told_Tales']
960,What is john stuart williams's profession?,['John Stuart Williams'],['John_Stuart_Williams'],"['John_McDouall_Stuart', 'John_Stuart_Williams', 'List_of_EastEnders_characters_(2001)', 'List_of_Alamo_defenders', 'List_of_minor_planet_discoverers', 'List_of_minor_planets:_3001–4000', 'List_of_supporting_Arrow_characters', '2015_Sousse_attacks', 'Kootenay_West', 'Forbes_baronets']",['John_Stuart_Williams'],['John_Stuart_Williams'],['John_Stuart_Williams'],['John_Stuart_Williams'],['John_Stuart_Williams']
961,what is the profession of moussa faki?,['Moussa Faki'],['Moussa_Faki'],"['Moussa_Faki', 'Chairperson_of_the_African_Union_Commission', 'Aya_Chebbi', 'African_Union_High_Representative_for_Infrastructure_Development', 'Arikana_Chihombori_Quao']",['Moussa_Faki'],['Moussa_Faki'],['Moussa_Faki'],['Moussa_Faki'],['Moussa_Faki']
962,what is the name of a power metal album,['Power metal'],['Power_metal'],"['Power_metal', 'Progressive_metal', 'Symphonic_metal', 'Groove_metal', 'Port_Adelaide_Football_Club', 'Drone_metal', 'Heavy_metal_genres', 'Sentimental_ballad', 'Power_Metal_(album)', 'Dionysus_(band)']",['Power_metal'],['Power_metal'],['Power_metal'],['Power_metal'],['Power_metal']
963,where was ashley monique clark born,['Ashley Monique Clark'],['Ashley_Monique_Clark'],"['Ashley_Monique_Clark', 'List_of_New_York_City_Ballet_dancers']",['Ashley_Monique_Clark'],['Ashley_Monique_Clark'],['Ashley_Monique_Clark'],['Ashley_Monique_Clark'],['Ashley_Monique_Clark']
964,where did plato meet his maker,['Plato'],['Plato'],"['Plato', 'Census-designated_place', 'Republic_(Plato)', 'PLATO_(computer_system)', 'Club_Atlético_River_Plate', 'Apology_(Plato)', 'Estudiantes_de_La_Plata', 'Dana_Plato', 'Plato_Township,_Kane_County,_Illinois', 'Neighborhoods_and_suburbs_of_Novi_Sad']",['Plato'],['Plato'],['Plato'],['Plato'],['Plato']
965,Name someone who played the saxophone,['Saxophone'],['Saxophone'],"['Great_Neck,_New_York', 'T-Neck_Records', 'Throggs_Neck', 'Head_and_neck_cancer', 'Douglaston–Little_Neck,_Queens', 'Otolaryngology–Head_and_Neck_Surgery', 'JAMA_Otolaryngology–Head_&_Neck_Surgery', 'Polo_neck', 'Colts_Neck_Township,_New_Jersey', 'Saxophone']",['Saxophone'],['Saxophone'],['Saxophone'],['Saxophone'],[]
966,what are games with multiplayer mode?,['Multiplayer video game'],['Multiplayer_video_game'],"['Multiplayer_video_game', 'Mobile_game', 'Browser_game', 'Cooperative_gameplay', 'Multiplayer_online_battle_arena', 'Hotseat_(multiplayer_mode)', 'List_of_local_multiplayer_video_games_by_system', 'List_of_massively_multiplayer_online_strategy_video_games', 'Halo:_Reach', 'Action_game']",['Multiplayer_video_game'],['Multiplayer_video_game'],['Multiplayer_video_game'],"['Multiplayer_video_game', 'Multiplayer_online_battle_arena']",['Multiplayer_video_game']
967,which genre is book of lightning,['Book of Lightning'],['Book_of_Lightning'],"['Book_of_Lightning', 'Black_Lightning_(season_1)', 'The_Lightning_Thief', 'Black_Lightning_(season_2)', 'Percy_Jackson_&_the_Olympians', 'Monsters_in_Dungeons_&_Dragons', 'Lightning_Ridge_(book)', 'List_of_Tiny_Toon_Adventures_characters', 'English_Electric/BAC_Lightning_(book)', 'Tony_Isabella']",['Book_of_Lightning'],['Book_of_Lightning'],['Book_of_Lightning'],['Book_of_Lightning'],['Lightning']
968,What european country is herostratus from,['Herostratus (film)'],['Herostratus_(film)'],['Herostratus_(film)'],['Herostratus_(film)'],['Herostratus_(film)'],['Herostratus_(film)'],['Herostratus_(film)'],['Herostratus']
969,which south american nation is miguel angel landa place of death?,['Miguel Angel Landa'],['Miguel_Ángel_Landa'],"['Miguel_Ángel_Landa', 'Viveros_de_Coyoacán']",['Miguel_Ángel_Landa'],['Miguel_Ángel_Landa'],['Miguel_Ángel_Landa'],['Miguel_Ángel_Landa'],['Angel']
970,what is the name of a work by leonid gaidai,['Leonid Gaidai'],['Leonid_Gaidai'],"['Leonid_Gaidai', 'Aleksandr_Zatsepin', 'Nina_Grebeshkova', 'Weather_Is_Good_on_Deribasovskaya,_It_Rains_Again_on_Brighton_Beach', 'A_Groom_from_the_Other_World', 'Ivan_Vasilievich:_Back_to_the_Future', 'Bootleggers_(1961_film)', 'The_Diamond_Arm', 'A_Weary_Road', ""Operation_Y_and_Shurik's_Other_Adventures""]",['Leonid_Gaidai'],['Leonid_Gaidai'],['Leonid_Gaidai'],['Leonid_Gaidai'],['Leonid_Gaidai']
971,what is the label that amédé ardoin is under,['Amede Ardoin'],['Amédé_Ardoin'],['Amédé_Ardoin'],['Amédé_Ardoin'],['Amédé_Ardoin'],['Amédé_Ardoin'],['Amédé_Ardoin'],['Amédé_Ardoin']
972,What is a book written by colson whitehead?,['Colson Whitehead'],['Colson_Whitehead'],"['Colson_Whitehead', 'The_Colossus_of_New_York_(book)', 'Zone_One', 'John_Henry_Days', 'The_Nickel_Boys', 'Apex_Hides_the_Hurt', 'The_Underground_Railroad_(novel)', 'The_Intuitionist', 'Sag_Harbor_(novel)', 'Jeffrey_Rotter']",['Colson_Whitehead'],['Colson_Whitehead'],['Colson_Whitehead'],['Colson_Whitehead'],['Colson_Whitehead']
973,What position did Senegalese football player ali dia play?,['Ali Dia'],['Ali_Dia'],"['Ali_Dia', 'Báb', 'Sharaf_ad-Din_Ali_Yazdi', 'Dia_Abdul_Zahra_Kadim', 'Dina_Ali_Lasloom', 'Ali_Diarra', 'Alauddin_Khalji', 'Emad_El-Din_Mahmoud_Ali', 'British_Bangladeshi', 'Ali_ibn_Umar_Din']",['Ali_Dia'],['Ali_Dia'],['Ali_Dia'],['Ali_Dia'],"['Senegal', 'Association_football', 'Ali_Dia']"
974,what was dean cundey's place of birth,['Dean Cundey'],['Dean_Cundey'],"['Dean_Cundey', 'Honey,_We_Shrunk_Ourselves', 'The_Witch_Who_Came_from_the_Sea', 'Kurt_Sayenga', 'The_No_Mercy_Man', 'Lisa_Cuddy', ""Steven_Spielberg's_Director's_Chair"", '5_to_9', 'Fresh_Records_(UK)', ""St_Gabriel's,_Warwick_Square""]",['Dean_Cundey'],['Dean_Cundey'],['Dean_Cundey'],['Dean_Cundey'],['Dean_Cundey']
975,where was siraj ud-daulah born?,['Siraj ud-Daulah'],['Siraj_ud-Daulah'],"['Siraj_ud-Daulah', 'Masjid-e-Siraj_ud-Daulah', 'Mahboob_Ali_Khan', 'Siraj_ud_Daula_College', 'Siege_of_Calcutta', 'Battle_of_Plassey', 'Nawabs_of_Bengal_and_Murshidabad', 'Black_Hole_of_Calcutta', 'Zain_ud-Din_Ahmed_Khan', 'Sinfray']",['Siraj_ud-Daulah'],['Siraj_ud-Daulah'],['Siraj_ud-Daulah'],['Siraj_ud-Daulah'],['Siraj_ud-Daulah']
976,what instrument does david archuleta play,['David Archuleta'],['David_Archuleta'],"['David_Archuleta', 'David_Archuleta_discography', 'Begin_(David_Archuleta_album)', 'David_Archuleta_(album)', 'Crush_(David_Archuleta_song)', ""Something_'Bout_Love"", 'Forevermore_(David_Archuleta_album)', 'Christmas_from_the_Heart_(David_Archuleta_album)', 'JC_Chasez', 'American_Idol_(season_7)']",['David_Archuleta'],['David_Archuleta'],['David_Archuleta'],"['David_Archuleta', 'David_Archuleta_discography']",['David']
977,where in russia did aleksandr porokhovshchikov pass away,['Aleksandr Porokhovshchikov'],['Aleksandr_Porokhovshchikov'],"['Aleksandr_Porokhovshchikov', 'Aleksandr_Porokhovschikov']",['Aleksandr_Porokhovschikov'],['Aleksandr_Porokhovshchikov'],"['Aleksandr_Porokhovshchikov', 'Aleksandr_Porokhovschikov']","['Aleksandr_Porokhovshchikov', 'Aleksandr_Porokhovschikov']",['Aleksandr_Porokhovshchikov']
978,Who wrote danton (1983 film)?,['Danton (1983 film)'],['Danton_(1983_film)'],"['Danton_(1983_film)', 'Road_House_(1989_film)', 'Ray_Danton', 'Robert_Agnew', 'Stanisława_Przybyszewska', 'Raymond_Danon', 'The_Living_Daylights', 'Anne_Alvaro', 'Licence_to_Kill', 'Hannah,_Queen_of_the_Vampires']",['Danton_(1983_film)'],['Danton_(1983_film)'],['Danton_(1983_film)'],['Danton_(1983_film)'],['Danton_(1983_film)']
979,What type of music is victor bouchard known for,['Victor Bouchard'],['Victor_Bouchard'],"['Victor_Bouchard', 'Victor_Boucher', ""List_of_Knight's_Cross_of_the_Iron_Cross_recipients_(Bn–Bz)"", 'Renée_Morisset', '35th_Quebec_Legislature', ""2013_Tevlin_Women's_Challenger_–_Singles"", 'Désiré_Olivier_Bourbeau', 'List_of_University_of_Manitoba_alumni', '2014_Wuhan_Open_–_Singles', 'Drive_to_Victory_Lane_Racing_School']",['Victor_Bouchard'],['Victor_Bouchard'],['Victor_Bouchard'],['Victor_Bouchard'],['Victor_Bouchard']
980,what is ed wang's biological gender,['Ed Wang'],['Ed_Wang'],"['Ed_Wang', 'No.6_Collaborations_Project', 'List_of_minor_planets:_4001–5000', 'List_of_minor_planets:_3001–4000', 'Spectral_sequence', 'Frank_Zhigang_Wang', 'List_of_minor_planets:_21001–22000', 'List_of_minor_planets:_14001–15000', 'List_of_minor_planets:_16001–17000', 'List_of_minor_planets:_20001–21000']",['Ed_Wang'],['Ed_Wang'],['Ed_Wang'],['Ed_Wang'],['Gender']
981,Which genre of music is the album zig-zag walk?,['Zig-Zag Walk'],['Zig-Zag_Walk'],"['Zig-Zag_Walk', 'List_of_Naruto_episodes', 'Bottom_Points_railway_station', 'Langdon_Bay_(Kent)', 'Lucasville_railway_station', 'Staggered_column', 'Herpetogramma_hipponalis', 'Termessa_gratiosa', 'Erik_Cartwright', 'Gooseberry_Hill_National_Park']",['Zig-Zag_Walk'],['Zig-Zag_Walk'],['Zig-Zag_Walk'],['Zig-Zag_Walk'],['Zig-Zag_Walk']
982,what is an album that features rock music,['Rock music'],['Rock_music'],"['Folk_rock', 'British_folk_rock', 'Comedy_rock', 'Cambridge,_Ontario', 'Rock_&_Folk', '1960s_in_music', 'The_Company_(folk_rock_band)', 'Medieval_folk_rock', 'Billboard_charts', 'Rock_music']",['Rock_music'],['Rock_music'],['Rock_music'],['Rock_music'],['Rock_music']
983,where was john miles born?,['John Miles (musician)'],['John_Miles_(musician)'],"['John_Miles_(musician)', 'Guy_Chambers', 'John_Coltrane', 'Liverpool_John_Lennon_Airport', 'John_Fields_(record_producer)', 'Jack_DeJohnette', 'Les_Reed_(songwriter)', 'Jean_Roussel', 'Tommy_Flanagan', 'Joey_DeFrancesco']",['John_Miles_(musician)'],['John_Miles_(musician)'],['John_Miles_(musician)'],['John_Miles_(musician)'],['John_Miles_(musician)']
984,what language is doctor love spoken in?,['Doctor Love (film)'],['Doctor_Love_(film)'],"['Tom_and_Jerry_filmography', 'Dr._Strangelove', 'List_of_Dr._Slump_films', 'Doctor_Love_(film)', 'Medical_drama', 'Verity_Lambert', 'Miya_(actress)', 'Bhagath_Manuel', 'Ji_Sung', 'Orla_Brady']",['Doctor_Love_(film)'],['Doctor_Love_(film)'],['Doctor_Love_(film)'],['Doctor_Love_(film)'],"['Language', 'Doctor_Love_(film)']"
985,What is Flavio Baracchini's gender?,['Flavio Baracchini'],['Flavio_Baracchini'],"['Flavio_Baracchini', '81a_Squadriglia']",['Flavio_Baracchini'],['Flavio_Baracchini'],['Flavio_Baracchini'],['Flavio_Baracchini'],"['Flavio_Baracchini', 'Gender']"
986,Where was glen brand born?,['Glen Brand'],['Glen_Brand'],"['Glen_Brand', 'Glendale_Public_Library', 'West_Bradford_Township,_Chester_County,_Pennsylvania', 'List_of_minor_planets:_3001–4000', 'County_of_Brant', 'Garland_Independent_School_District', 'List_of_Oz_(TV_series)_characters', 'List_of_minor_planets:_25001–26000', 'Miley_Cyrus', 'Swamp_People']",['Glen_Brand'],['Glen_Brand'],['Glen_Brand'],['Glen_Brand'],['Glen_Brand']
987,what is stephaniesmithmusic's gender,['Stephanie Smith'],['Stephanie_Smith'],"['Stephanie_Murray_Smith', 'List_of_Survivor_(American_TV_series)_contestants', 'Stephanie_M._Smith', 'Stephanie_Smith', 'List_of_New_York_City_Ballet_dancers', 'Stephane_Vehrle-Smith', 'Models_Inc.', 'List_of_Degrassi_characters', 'Liberal_Party_of_Canada_candidates_in_the_2008_Canadian_federal_election', 'Full_House_(season_7)']",['Stephanie_Smith'],['Stephanie_Smith'],['Stephanie_Smith'],['Stephanie_Smith'],['Gender']
988,What's an album featuring viggo mortensen,['Viggo Mortensen'],['Viggo_Mortensen'],"['Viggo_Mortensen', 'List_of_awards_and_nominations_received_by_Viggo_Mortensen', 'Buckethead', 'The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring', 'The_Lord_of_the_Rings_(film_series)', 'The_Lord_of_the_Rings:_The_Return_of_the_King', 'The_Lord_of_the_Rings:_The_Two_Towers', 'David_Newsom', 'Leatherface:_The_Texas_Chainsaw_Massacre_III', 'Travis_Dickerson']",['Viggo_Mortensen'],['Viggo_Mortensen'],['Viggo_Mortensen'],['Viggo_Mortensen'],['Viggo_Mortensen']
989,where was cole vosbury born at?,['Cole Vosbury'],['Cole_Vosbury'],"['Cole_Vosbury', 'Vossburg,_Mississippi', 'Irsching_Power_Station']",['Cole_Vosbury'],['Cole_Vosbury'],['Cole_Vosbury'],['Cole_Vosbury'],[]
990,What musical style is the album vulture culture?,['Vulture Culture'],['Vulture_Culture'],"['New_York_(magazine)', 'Vulture_Culture', 'Culture_Vulture_(EP)', 'Pacifisticuffs', 'Fangclub', 'Culture_Vulture', 'The_Culture_Vultures', 'Culture_Vultures', 'Barile', 'Sudha_Bhuchar']",['Vulture_Culture'],['Vulture_Culture'],['Vulture_Culture'],['Vulture_Culture'],['Vulture_Culture']
991,what is the name of a professional politician,['Politician'],['Politician'],"['Politician', 'Independent_politician', 'Abdul_Hamid_(politician)', 'Bryan_Anderson_(politician)', 'Mike_Baird', 'David_Anderson_(Saskatchewan_politician)', 'Elaine_Taylor_(politician)', 'Bill_Wood_(politician)', 'Boris_Johnson', 'Zoran_Živković_(politician)']",['Politician'],['Politician'],['Politician'],['Politician'],[]
992,which city did wolfgang zeidler pass away in,['Wolfgang Zeidler'],['Wolfgang_Zeidler'],"['Wolfgang_Zeller', 'Wolfgang_Zeidler', 'Hans_Zender', 'List_of_minor_planet_discoverers', 'List_of_mayors_of_Leipzig', 'Klangforum_Wien', 'Melody_of_the_World']",['Wolfgang_Zeidler'],['Wolfgang_Zeidler'],['Wolfgang_Zeidler'],['Wolfgang_Zeidler'],"['City', 'Wolfgang_Zeidler']"
993,Who produced mankillers?,['Mankillers'],['Mankillers'],"['Mankillers', 'Wilma_Mankiller', 'Joseph_Manmiller', 'Mankiller', 'David_A._Prior', 'Malvillers', 'Mainvillers', 'Mankiller_(film)', 'Ostenaco', 'Deadly_Prey']",['Mankillers'],['Mankillers'],['Mankillers'],['Mankillers'],['Mankillers']
994,Who was an actor killed by a myocardial infarction,['Myocardial infarction'],['Myocardial_infarction'],"['Myocardial_infarction', 'Myocardial_infarction_diagnosis', 'Electrocardiography_in_myocardial_infarction', 'Management_of_acute_coronary_syndrome', 'TIMI', 'Myocardial_Ischaemia_National_Audit_Project', 'Panoramic_radiograph', 'Myocardial_infarction_complications', 'Cardiovascular_disease', 'Beta_blocker']",['Myocardial_infarction'],['Myocardial_infarction'],['Myocardial_infarction'],['Myocardial_infarction'],"['Actor', 'Infarction']"
995,what war did  humphrey osbaldston brooke firman participate in,['Humphrey Osbaldston Brooke Firman'],['Humphrey_Osbaldston_Brooke_Firman'],['Humphrey_Firman'],['Humphrey_Firman'],['Humphrey_Firman'],['Humphrey_Firman'],['Humphrey_Firman'],['Firman']
996,what gender is muhammad baqir majlisi,['Muhammad Baqir Majlisi'],['Muhammad_Baqir_Majlisi'],"['Mohammad-Baqer_Majlesi', 'Essence_of_Life_(book)', 'Reality_of_Certainty', ""Du'a_Nudba"", 'Hilyat_al-Muttaqin', 'Dua_Simat', 'Amina_Bint_al-Majlisi', ""Sha'baniyah_Munajat""]",['Mohammad-Baqer_Majlesi'],['Mohammad-Baqer_Majlesi'],['Mohammad-Baqer_Majlesi'],['Mohammad-Baqer_Majlesi'],"['Gender', 'Mohammad-Baqer_Majlesi']"
997,where was james craig born,['James Craig (VC)'],['James_Craig_(VC)'],['James_Craig_(VC)'],['James_Craig_(VC)'],['James_Craig_(VC)'],['James_Craig_(VC)'],['James_Craig_(VC)'],['James_Henry_Craig']
998,who produced the fourth alarm,['The Fourth Alarm'],['The_Fourth_Alarm'],"['The_Fourth_Alarm', 'Type_I_and_type_II_errors', 'Alarm_Call', 'False_Alarm_(album)', 'Mission_Bay_fire', 'Arkansas_Highway_127', 'Change_(The_Alarm_album)', 'Lever_escapement', '¡Alarma!_(album)', 'Good_Morning_Starshine_(Strawberry_Alarm_Clock_album)']",['The_Fourth_Alarm'],['The_Fourth_Alarm'],['The_Fourth_Alarm'],['The_Fourth_Alarm'],[]
