,question,entities,MuHeQA_FLERT
1424,Where did heinz budde die?,['Heinz Budde'],['heinz budde']
1425,who produced the movie the specialist,['The Specialist'],"['movie', 'specialist']"
1426,where in los angeles did  henry bergman die,['Henry Bergman'],"['henry bergman', 'los angeles']"
1427,What is the location of jean de selys longchamps's death?,['Jean de Selys Longchamps'],['jean de selys']
1428,"who designed chapel of the good shepherd, carlett park","['Chapel of the Good Shepherd, Carlett Park']",['carlett park']
1429,what movie is a type of documentary film?,['documentary film'],"['movie', 'documentary film']"
1430,where did percy sutton become deceased,['Percy Sutton'],['percy sutton']
1431,Name a film actor born in hawaii.,['Hawaii'],['hawaii']
1432,who is the story of circle of iron by,['Circle of Iron'],[]
1433,What is a gameplay mode from the game gears of war,['Gears of War'],['war']
1434,what movie did amit kumar write?,['Amit Kumar'],['amit kumar']
1435,Which artist made scream with a view,['Scream with a View'],"['artist', 'view']"
1436,Where was dominique dunne born?,['Dominique Dunne'],['dominique dunne']
1437,Where was  lewis nott born,['Lewis Nott'],['lewis nott']
1438,who wrote the origins of totalitarianism,['The Origins of Totalitarianism'],['totalitarianism']
1439,what is anthony herrera's ethnicity?,['Anthony Herrera'],['anthony herrera']
1440,who directed cop out,['Cop Out'],['cop']
1441,where is drazen zecic from,['Dražen Zečić'],[]
1442,What is the country of origin for the tv program the adventures of sinbad?,['The Adventures of Sinbad'],['the adventures of sinbad']
1443,what family does devawongse varopakarn belong too?,['Devan Udayawongse'],['devawongse varopakarn']
1444,which artist is under the label nettwerk?,['Nettwerk'],"['artist', 'label nettwerk']"
1445,which actor was born in tel aviv,['Tel Aviv'],['tel aviv']
1446,Which genre can one find swamp thing under on netflix,['Swamp Thing'],['netflix']
1447,Who is a mexican goalkeeper?,['goalkeeper'],['mexican goalkeeper']
1448,jackie is an album recorded by what artist?,['Jackie'],['jackie']
1449,what is charles koppelmans nationality,['Charles Koppelman'],['charles koppelmans']
1450,Where was charlie mccully born?,['Charlie McCully'],['charlie mccully']
1451,What is josh klein-davies's gender?,['Josh Klein-Davies'],['josh klein-davies']
1452,who directed a mutt in a rut?,['A Mutt in a Rut'],['rut']
1453,who created the album phoenix,['Phoenix'],['album phoenix']
1454,What is elia schneider gender,['Elia Schneider'],['elia schneider gender']
1455,where is barbara levstik from ,['Barbara Levstik'],['barbara levstik']
1456,Who is the artist of the album fight to survive?,['Fight to Survive'],['album fight']
1457,who is a fiddle instrumentalist,['fiddle'],['fiddle instrumentalist']
1458,where did boethius die,['Boethius'],['boethius']
1459,What is the name of a film that dimitri tiomkin was the music contributor for,['Dimitri Tiomkin'],['dimitri tiomkin']
1460,What was the cause of death of jeremiah burrell,['Jeremiah Burrell'],['jeremiah burrell']
1461,what language is used in the film  the proposition,['The Proposition'],"['language', 'film', 'proposition']"
1462,which artist released the sweetest illusion?,['The Sweetest Illusion'],"['artist', 'illusion']"
1463,what kind of movie is faeries,['Faeries'],['faeries']
1464,What is the gender of craig m. johnson,['Craig M. Johnson'],['craig m. johnson']
1465,who died from pneumonia,['pneumonia'],['pneumonia']
1466,what rank is the quercus michauxii,['Quercus michauxii'],['rank']
1467,What soccer position does tsukasa hosaka play?,['Tsukasa Hosaka'],['tsukasa hosaka']
1468,What is dale memmelaar's nationality?,['Dale Memmelaar'],['dale memmelaar']
1469,Where was masato harada birthed,['Masato Harada'],['masato harada']
1470,is the green monocle from germany or england,['The Green Monocle'],['germany or england']
1471,who was born in kinnelon?,['Kinnelon'],['kinnelon']
1472,who was in charge of story on jumanji,['Jumanji'],['jumanji']
1473,is michel duplaix male or female?,['Michel Dupleix'],['michel duplaix male or female']
1474,name an album done by dashboard confessional ,['Dashboard Confessional'],"['album', 'dashboard confessional']"
1475,Where was albert huffstickler born,['Albert Huffstickler'],['albert huffstickler']
1476,who is the producer of the movie tigerland,['Tigerland'],['movie tigerland']
1477,who directed mean girls,['Mean Girls'],['mean girls']
1478,which label is the band azteca signed to,['Azteca'],['band azteca']
1479,which movie is drama,['drama film'],"['movie', 'drama']"
1480,what country is maiwa language spoken in,['Robert Anton Wilson'],"['country', 'maiwa language']"
1481,What position does footballer chris brandon play?,['Chris Brandon'],['footballer chris brandon']
1482,what event happened in old goa,['Old Goa'],"['event', 'old goa']"
1483,what music is played in the one for all album,['One for All'],"['music', 'album']"
1484,What genre is twice-told tales,['Twice-Told Tales'],"['genre', 'tales']"
1485,What is john stuart williams's profession?,['John Stuart Williams'],['john stuart williams']
1486,Where was sadi cabral deceased?,['Sadi Cabral'],['sadi cabral']
1487,what is the profession of moussa faki?,['Moussa Faki'],['moussa']
1488,What illness killed mary philbin,['Mary Philbin'],['mary philbin']
1489,what is the name of a power metal album,['power metal'],['power metal album']
1490,What country is clarke county located in?,['Clarke County'],['clarke county']
1491,whats the name of a football goalkeeper,['goalkeeper'],['football goalkeeper']
1492,where was ashley monique clark born,['Ashley Monique Clark'],['ashley monique clark']
1493,who was the artist of the descent from the cross,['The Descent from the Cross'],['cross']
1494,where did plato meet his maker,['Plato'],['plato']
1495,What is a second level division of united states,['United States of America'],['united states']
1496,Name someone who played the saxophone,['saxophone'],"['someone', 'saxophone']"
1497,what language is used in kyoto story,['Kyoto Story'],['kyoto story']
1498,what are games with multiplayer mode?,['multiplayer video game'],['multiplayer mode']
1499,which genre is book of lightning,['Book of Lightning'],"['genre', 'lightning']"
1500,What european country is herostratus from,['Herostratus'],['european country']
1501,is shinbone alley from the united states or france,['Shinbone Alley'],['united states or france']
1502,which south american nation is miguel angel landa place of death?,['Miguel Ángel Landa'],"['miguel angel landa', 'south american nation']"
1503,what is the name of a work by leonid gaidai,['Leonid Gaidai'],['leonid gaidai']
1504,Who recorded the album prelude and sonata,['Prelude and Sonata'],"['album', 'and sonata']"
1505,what is the label that amédé ardoin is under ,['Amédé Ardoin'],['amédé ardoin']
1506,to which asteroid group does 4306 dunaevskij belong,['4306 Dunaevskij'],"['asteroid group', '4306 dunaevskij']"
1507,What is a book written by colson whitehead?,['Colson Whitehead'],['colson whitehead']
1508,What position did Senegalese football player ali dia play?,['Ali Dia'],"['ali dia', 'Senegalese']"
1509,what was dean cundey's place of birth,['Dean Cundey'],['dean cundey']
1510,what types of movie is starkweather,['Starkweather'],"['movie', 'starkweather']"
1511,where was siraj ud-daulah born?,['Siraj ud-Daulah'],['siraj ud-daulah']
1512,what country is fermière à montfaucon from?,['-'],['montfaucon']
1513,what instrument does david archuleta play,['David Archuleta'],['david archuleta']
1514,Which position does laura brosius play?,['Laura Brosius'],['laura brosius']
1515,where in russia did aleksandr porokhovshchikov pass away,['Aleksandr Porokhovshchikov'],"['russia', 'aleksandr porokhovshchikov']"
1516,Who is famous for playing the violin,['violin'],['violin']
1517,what is the nationality of william rolleston,['William Rolleston'],['william rolleston']
1518,Who wrote danton (1983 film)?,['Danton'],['danton']
1519,What type of music is victor bouchard known for,['Victor Bouchard'],['victor bouchard']
1520,what is ed wang's biological gender,['Ed Wang'],['ed wang']
1521,what game is designed by hiroyuki ito,['Hiroyuki Ito'],['hiroyuki ito']
1522,Which genre of music is the album zig-zag walk?,['Zig-Zag Walk'],"['music', 'album zig-zag walk']"
1523,what is an album that features rock music,['rock music'],"['album', 'rock music']"
1524,where was john miles born?,['John Miles'],['john miles']
1525,what language is doctor love spoken in?,['Doctor Love'],"['language', 'doctor love']"
1526,is orka (comics) male or female,['Orka'],"['orka', 'comics']"
1527,What is Flavio Baracchini's gender?,['Flavio Baracchini'],['Flavio Baracchini']
1528,What type of object is 3809 amici,['3809 Amici'],"['object', '3809 amici']"
1529,of what nationality is scott bower,['Scott Bower'],"['nationality', 'scott bower']"
1530,Where was glen brand born?,['Glen Brand'],['glen brand']
1531,what is stephaniesmithmusic's gender,['Stephanie Smith'],['stephaniesmithmusic']
1532,What's an album featuring viggo mortensen,['Viggo Mortensen'],['viggo mortensen']
1533,what is the nationality of chris cillizza,['Chris Cillizza'],['chris cillizza']
1534,where is k-19: the widowmaker from?,['K-19: The Widowmaker'],['k-19']
1535,what are the transit lines of liverpool street station,['Liverpool Street station'],['liverpool street station']
1536,where was cole vosbury born at?,['Cole Vosbury'],['cole vosbury']
1537,What musical style is the album vulture culture?,['Vulture Culture'],"['musical style', 'album vulture culture']"
1538,what is the name of a professional politician,['politician'],['professional politician']
1539,which city did wolfgang zeidler pass away in ,['Wolfgang Zeidler'],['wolfgang zeidler']
1540,Who produced mankillers?,['Mankillers'],['mankillers']
1541,Who was an actor killed by a myocardial infarction,['myocardial infarction'],"['actor', 'myocardial infarction']"
1542,Where is the blond arrow originally from,['Alfredo Di Stéfano'],['blond arrow']
1543,what language is ammakilikkoodu in,['Ammakilikkoodu'],['language']
1544,what war did  humphrey osbaldston brooke firman participate in,['Humphrey Osbaldston Brooke Firman'],['humphrey osbaldston brooke firman']
1545,what gender is muhammad baqir majlisi,['Muhammad Baqir Majlisi'],['muhammad baqir majlisi']
1546,where was james craig born,['James Craig'],['james craig']
1547,who produced the fourth alarm,['The Fourth Alarm'],['fourth alarm']
1548,who is the musician that created jaleo,['Jaleo'],"['musician', 'jaleo']"
1549,what country is bruce kimmel from,['Bruce Kimmel'],['bruce kimmel']
1550,which football position is david hodgson charged of,['David Hodgson'],['david hodgson']
1551,Where did gustav friedrich hetsch die,['Gustav Friedrich Hetsch'],['gustav friedrich hetsch']
1552,who is a midfielder for Gentofte-Vangede IF?,['midfielder'],['Gentofte-Vangede IF']
1553,What type of music is featured on roll with it,['Roll with It'],['music']
1554,What is the ethnicity of fred chappell?,['Fred Chappell'],['fred chappell']
1555,what person died from a stroke?,['stroke'],"['person', 'stroke']"
1556,where was simon drake born,['Simon Drake'],['simon drake']
1557,Was peter landin male or female,['Peter Landin'],['peter landin male or female']
1558,What is the birth place of paul baltes,['Paul Baltes'],['paul baltes']
1559,where was noel brotherston born?,['Noel Brotherston'],['noel brotherston']
1560,What was the profession of abbas i of persia,['Abbas the Great'],['persia']
1561,what position did oswaldo henríquez play,['Oswaldo Henríquez'],['oswaldo henríquez']
1562,What position does footballer frank griffin play?,['Frank Griffin'],['footballer frank griffin']
1563,Name a film producer.,['film producer'],['film producer']
1564,what country contains thun,['Thun administrative district'],"['country', 'thun']"
1565,what type of celestial object is 46p/wirtanen,['46P/Wirtanen'],"['celestial object', '46p', 'wirtanen']"
1566,where was maria branwell born,['Maria Branwell'],['maria branwell']
1567,which country is west monroe a city in,['West Monroe'],['west monroe']
1568,Whose death was caused by myocardial infarction?,['myocardial infarction'],"['death', 'myocardial infarction']"
1569,what works have edward de bono created?,['Edward de Bono'],['edward de bono']
