,question,responses,MuHeQA_Rank,MuHeQA_Top1,MuHeQA_Top2,MuHeQA_Top3,Wiki_Rank,Wiki_Top1,Wiki_Top2,Wiki_Top3,DBpedia_Rank,DBpedia_Top1,DBpedia_Top2,DBpedia_Top3
1866,who is meritaten's parents,['Akhenaten'],,,,,,,,,,,,
1867,where did charles cleveland pass away,"['Tuscaloosa, Alabama']",,,,,,,,,,,,
1868,ivan jević is a Serbian footballer playing in which position?,['Defender (association football)'],,,,,,,,,,,,
1869,what subset of rock does erik brann play,['Hard rock'],,,,,,,,,,,,
1870,who developed phoenix wright: ace attorney: justice for all,[nan],,,,,,,,,,,,
1871,what is an album by the miracles,['Point It Out'],,,,,,,,,,,,
1872,Who is a notable manager,['Michel Platini'],,,,,,,,,,,,
1873,What's an example of a baseball pitcher?,['A.J. Puckett'],,,,,,,,,,,,
1874,which country is the movie thalaimagan from,[nan],,,,,,,,,,,,
1875,what types of music is the maze,[nan],,,,,,,,,,,,
1876,Name a person who was born in monterrey,['Jonathan Orozco'],,,,,,,,,,,,
1877,which albums were released by marduk (band)?,[nan],,,,,,,,,,,,
1878,austin lane crothers died in this city and state.,"['Elkton, Maryland']",,,,,,,,,,,,
1879,which football position does tiko as?,['Midfielder'],,,,,,,,,,,,
1880,where was james soong born,['Xiangtan'],,,,,,,,,,,,
1881,Which film was directed by elia kazan,['Baby Doll'],,,,,,,,,,,,
1882,what gender does henry n. cobb identify as,[nan],,,,,,,,,,,,
1883,Where was hedy fry born?,"['San Fernando, Trinidad and Tobago']",,,,,,,,,,,,
1884,what position in football does chad kilgore play,['Linebacker'],,,,,,,,,,,,
1885,Who was born in innsbruck?,['Murat Satin'],,,,,,,,,,,,
1886,where was  joseph w. mcmurrin born,"['Tooele, Utah Territory, United States']",,,,,,,,,,,,
1887,which pitcher died of a car accident?,['Wahid Hasyim'],,,,,,,,,,,,
1888,who was born in louisville,['Arthur A. Will'],,,,,,,,,,,,
1889,What is the gender of jim lash?,[nan],,,,,,,,,,,,
1890,What's an album recorded by robert plant,['29 Palms (song)'],,,,,,,,,,,,
1891,what american football position does antwan barnes play,['Linebacker'],,,,,,,,,,,,
1892,what ethnicity is megumi makihara,[nan],,,,,,,,,,,,
1893,"what is the name of someone born in denver, colorado",['Bobby Buntrock'],,,,,,,,,,,,
1894,Where did derek hall pass away,"['San Jose, California']",,,,,,,,,,,,
1895,what musical genre is the album  the golden age of grotesque,[nan],,,,,,,,,,,,
1896,Who created the fictional character carlie cooper,['Dan Slott'],,,,,,,,,,,,
1897,Name a tv program created by eric kripke,['Castiel (Supernatural)'],,,,,,,,,,,,
1898,Where was vicente martinez ybor born,['Valencia'],,,,,,,,,,,,
1899,which pixar film did jonathan roberts write,['The Hunchback of Notre Dame (1996 film)'],,,,,,,,,,,,
1900,What gender is angel g. luévano?,[nan],,,,,,,,,,,,
1901,which city was marco marinangeli born in,[nan],,,,,,,,,,,,
1902,Which language is the film non son degno di te in,['Italian language'],,,,,,,,,,,,
1903,which film was written by joe carnahan,['The Grey (film)'],,,,,,,,,,,,
1904,What country is kasautii zindagii kay broadcast to,[nan],,,,,,,,,,,,
1905,nguyễn văn kiệt received the navy cross for what war?,['Vietnam War'],,,,,,,,,,,,
1906,what position does mitch talbot play?,['Pitcher'],,,,,,,,,,,,
1907,what city was kurt stöpel born in,['Berlin'],,,,,,,,,,,,
1908,who produced stay hungry,['Bob Rafelson'],,,,,,,,,,,,
1909,what is a fighting game game by Konami Computer Entertainment?,['Akatsuki Blitzkampf'],,,,,,,,,,,,
1910,What language is aruvadai naal in?,['Tamil language'],,,,,,,,,,,,
1911,who is an actor?,['A. J. Bowen'],,,,,,,,,,,,
1912,Which city did aimar-charles-marie de nicolaï die in?,[nan],,,,,,,,,,,,
1913,What is an event that occurred at the metropolitan manila,['Oakwood mutiny'],,,,,,,,,,,,
1914,which country is bernd hollerbach from,['West Germany'],,,,,,,,,,,,
1915,What type of music genre is Boi Akih?,['Jazz'],,,,,,,,,,,,
1916,who directed doctor dolittle,[nan],,,,,,,,,,,,
1917,what country is rickybellakaslick from,"['Roxbury, Boston']",,,,,,,,,,,,
1918,what italian city was the place of birth of prince maurice of savoy,['Turin'],,,,,,,,,,,,
1919,What genre is undercover?,[nan],,,,,,,,,,,,
1920,what city did gustav lechner die in,['Socialist Federal Republic of Yugoslavia'],,,,,,,,,,,,
1921,where in california was jeff robinson born,"['Santa Ana, California']",,,,,,,,,,,,
1922,what baseball position does dave revering play,['First baseman'],,,,,,,,,,,,
1923,who was lethal weapon edited by,['Stuart Baird'],,,,,,,,,,,,
1924,Where did reiko sato die?,['Los Angeles'],,,,,,,,,,,,
1925,what film did pete dexter assist in the writing of,['The Paperboy (2012 film)'],,,,,,,,,,,,
1926,where did the japanese occupation of attu take place,['Aleutian Islands'],,,,,,,,,,,,
1927,where in the united states did charles n. orr die?,"['Saint Paul, Minnesota']",,,,,,,,,,,,
1928,where was wim deetman born,['Netherlands'],,,,,,,,,,,,
1929,what gender is franklin hansen?,[nan],,,,,,,,,,,,
1930,what instrument does kai eckhardt play,['Bass guitar'],,,,,,,,,,,,
1931,what is jim gilmore's gender,[nan],,,,,,,,,,,,
1932,what is the nationality of andrew pattison?,[nan],,,,,,,,,,,,
1933,"who in the world directed luke, patient provider",['Hal Roach'],,,,,,,,,,,,
1934,What position does yevgeni kharlachyov play,['Midfielder'],,,,,,,,,,,,
1935,What is the gender of maurice capovila?,[nan],,,,,,,,,,,,
1936,what genre is the album act iii: life and death,[nan],,,,,,,,,,,,
1937,what athlete was born in cluj-napoca,['Ciprian Suciu'],,,,,,,,,,,,
1938,What's pang qing's gender?,[nan],,,,,,,,,,,,
1939,Who was the director for the film nevada?,['Edward Killy'],,,,,,,,,,,,
1940,who directed kindred of the dust,['Raoul Walsh'],,,,,,,,,,,,
1941,Who is mako (actor)'s mother,[nan],,,,,,,,,,,,
1942,what is jean claude eugène péclet's country of nationality?,['Besançon'],,,,,,,,,,,,
1943,Which country doe sjohn ordronaux have nationality in,['New York City'],,,,,,,,,,,,
1944,What gender is paul gérin-lajoie,[nan],,,,,,,,,,,,
1945,Where was ole olsen born?,[nan],,,,,,,,,,,,
1946,what is  1145 robelmonte category,['Asteroid'],,,,,,,,,,,,
1947,what film did hal roach produce?,['Topper Returns'],,,,,,,,,,,,
1948,what position is iván nova charge of,['Pitcher'],,,,,,,,,,,,
1949,what's one of sting's albums?,"[""We'll Be Together (Sting song)""]",,,,,,,,,,,,
1950,where is maurice tempelsman from,[nan],,,,,,,,,,,,
1951,where was eleonor magdalene of neuburg born,[nan],,,,,,,,,,,,
1952,where did swatow operation take place,['Shantou'],,,,,,,,,,,,
1953,which city did anna dostoyevskaya die,[nan],,,,,,,,,,,,
1954,Where in france did yves giraud-cabantous die,[nan],,,,,,,,,,,,
1955,what gender could marjan mozetich be,[nan],,,,,,,,,,,,
1956,what nation is deborah reber from,['United States'],,,,,,,,,,,,
1957,What is the profession of ravi babu?,['’'],,,,,,,,,,,,
1958,which gender is gareth evans,[nan],,,,,,,,,,,,
1959,Who authored punishment park,['Peter Watkins'],,,,,,,,,,,,
1960,What genre is the ragpickers dream apart of?,[nan],,,,,,,,,,,,
1961,Which historical film did jordi savall provided music for?,['Secret Defense (1998 film)'],,,,,,,,,,,,
1962,what type of music does cake make,[nan],,,,,,,,,,,,
1963,Where was cooper kupp born,[nan],,,,,,,,,,,,
1964,what country is utah in,['United States'],,,,,,,,,,,,
1965,What is sabato morais's gender?,[nan],,,,,,,,,,,,
1966,Who influenced charles baudelaire,['Joseph de Maistre'],,,,,,,,,,,,
1967,which post-hardcore albums were released in canada?,['Brandon Rike'],,,,,,,,,,,,
1968,What is the name of a game where you can play multiplayer,['221B Baker Street (video game)'],,,,,,,,,,,,
1969,What nation is hamad ndikumana from?,['Bujumbura'],,,,,,,,,,,,
1970,What is an artist who makes pop music?,['(One Glance Is) Holy'],,,,,,,,,,,,
1971,who's one notable person from clarkston,['Daniel Travis'],,,,,,,,,,,,
1972,what film is by the company orion pictures?,['Just Between Friends'],,,,,,,,,,,,
1973,what's the name of a famous jazz artist from france,['32 Records'],,,,,,,,,,,,
1974,Name an actor.,['A. J. Bowen'],,,,,,,,,,,,
1975,What production company produced the matinee idol?,['Columbia Pictures'],,,,,,,,,,,,
1976,Which body of water does the champ clark bridge span,[nan],,,,,,,,,,,,
1977,What baseball position did shohei kato play,[nan],,,,,,,,,,,,
1978,Is william barak female or male?,[nan],,,,,,,,,,,,
1979,Where was william gay born,['San Francisco'],,,,,,,,,,,,
1980,where was juan yustrich born,"['Rosario, Santa Fe']",,,,,,,,,,,,
1981,who are the parents of princess sophie-philippine of france?,[nan],,,,,,,,,,,,
1982,Name a theatre director,['Abdurrahim bey Hagverdiyev'],,,,,,,,,,,,
1983,what is the gender of tammy lauren,[nan],,,,,,,,,,,,
1984,who's an example of an jazz artist,['32 Records'],,,,,,,,,,,,
1985,What football position does john baker play,['Punter (football)'],,,,,,,,,,,,
1986,which gender does henrik sedin identify as,[nan],,,,,,,,,,,,
1987,what kind of game is prince of persia 3d,['Action-adventure game'],,,,,,,,,,,,
1988,What is odeh ogar's gender?,[nan],,,,,,,,,,,,
1989,what country did the cooking show  5 ingredient fix come from,[nan],,,,,,,,,,,,
1990,what is the gender of thomas settle,[nan],,,,,,,,,,,,
1991,What production company produced the flm robots,['Blue Sky Studios'],,,,,,,,,,,,
1992,What is the gender of neal bascomb?,[nan],,,,,,,,,,,,
1993,List a politician from montreal,['A. J. M. Smith'],,,,,,,,,,,,
1994,What is ida waterman's gender,[nan],,,,,,,,,,,,
1995,What is ross barbour's gender?,[nan],,,,,,,,,,,,
1996,Who was born in jayapura?,['Elie Aiboy'],,,,,,,,,,,,
1997,which male politician was born in new kensington?,['Ralph Fritz'],,,,,,,,,,,,
1998,which state was charles bolden born,"['Columbia, South Carolina']",,,,,,,,,,,,
1999,Where did thomas tusser die,[nan],,,,,,,,,,,,
2000,who produced the film two scrambled,['Hal Roach'],,,,,,,,,,,,
2001,who was born in kazanlak?,['Emil Rachev'],,,,,,,,,,,,
2002,what is a soul music album?,['A Fool in Love'],,,,,,,,,,,,
2003,What is the gender of denis keegan?,[nan],,,,,,,,,,,,
2004,what does meton of athens do for a living,['Mathematician'],,,,,,,,,,,,
2005,Who is the cinematographer that worked on the film sparkle,['Bruce Surtees'],,,,,,,,,,,,
2006,Who is the writer of the sanctuary tv episode,[nan],,,,,,,,,,,,
2007,what was the place of death for john ogdon,[nan],,,,,,,,,,,,
2008,which country is huallaga river in,[nan],,,,,,,,,,,,
2009,Where was bryn lewis when he died,['Ypres'],,,,,,,,,,,,
2010,What kind of music does andrew wood perform?,['Alternative rock'],,,,,,,,,,,,
2011,Who is margaret stewart's dad,['James II of Scotland'],,,,,,,,,,,,
2012,who directed the film twisted,['Philip Kaufman'],,,,,,,,,,,,
2013,What's an example of a rock music album,['(One Glance Is) Holy'],,,,,,,,,,,,
2014,who was born in chicago,['Adam Simon'],,,,,,,,,,,,
2015,which movie did morgan creek productions produce,[nan],,,,,,,,,,,,
2016,What's the name of a rock music artist?,['(One Glance Is) Holy'],,,,,,,,,,,,
2017,what is răzvan rădulescu's sex?,[nan],,,,,,,,,,,,
2018,what is rebecca root's birthplace?,['Woking'],,,,,,,,,,,,
2019,what sex is frances freeling broderip,[nan],,,,,,,,,,,,
2020,What is the sex of ulf björlin,[nan],,,,,,,,,,,,
2021,what time zone is ecseny located,['Central European Summer Time'],,,,,,,,,,,,
2022,which film did aamir khan write the screenplay for,['Qayamat Se Qayamat Tak'],,,,,,,,,,,,
2023,What kind if music is stigma,[nan],,,,,,,,,,,,
2024,who wrote the saint and the hapsburg necklace,['Leslie Charteris'],,,,,,,,,,,,
2025,what country is camille winbush from,[nan],,,,,,,,,,,,
2026,Name an actor.,['A. J. Bowen'],,,,,,,,,,,,
2027,Who wrote the song the walk,['Lol Tolhurst'],,,,,,,,,,,,
2028,what person died from a myocardial infarction?,['Moses J. Epstein'],,,,,,,,,,,,
2029,what profession does kelly salmon have,['Actress'],,,,,,,,,,,,
2030,Who created fear itself,['Mick Garris'],,,,,,,,,,,,
2031,Which city was akbar rasyid born in?,['Makassar'],,,,,,,,,,,,
2032,larry david wrote what tv episode,['Sour Grapes (1998 film)'],,,,,,,,,,,,
2033,where was geoffrey obrien born,['New York (state)'],,,,,,,,,,,,
2034,Who is an actor born in vadstena,['Örjan Martinsson'],,,,,,,,,,,,
2035,which artist released liz phair,['Bollywood (Liz Phair song)'],,,,,,,,,,,,
2036,"as a defensive player, which position does christian eichner play",['Defender (association football)'],,,,,,,,,,,,
2037,what is a film written by david winters,['The Special London Bridge Special'],,,,,,,,,,,,
2038,What kind of music is exhibited by the album soul meeting,[nan],,,,,,,,,,,,
2039,what album is from nanci griffith,['From a Distance'],,,,,,,,,,,,
2040,Name a person born in fukuoka,['Sumiteru Taniguchi'],,,,,,,,,,,,
2041,who developed the computer game sword of mana,['Square Enix'],,,,,,,,,,,,
2042,what is a record label that worked with trine rein,[nan],,,,,,,,,,,,
2043,What gender is Roisin Shortall?,[nan],,,,,,,,,,,,
2044,who is one of oliver ames's children,[nan],,,,,,,,,,,,
2045,what sex is hugh rossi,[nan],,,,,,,,,,,,
2046,what is the gender identity associated with raymond allen,[nan],,,,,,,,,,,,
2047,what is the nationality of  robert sapolsky,['United States'],,,,,,,,,,,,
2048,Who was the cinematographer for jackass 3d?,[nan],,,,,,,,,,,,
2049,which position did massimiliano cappioli play,['Midfielder'],,,,,,,,,,,,
2050,what italian football player was born in  pisa,['Alexandra Moen'],,,,,,,,,,,,
2051,Where was norman luboff born in?,[nan],,,,,,,,,,,,
2052,What kind of game is tōkidenshō angel eyes,['Fighting game'],,,,,,,,,,,,
2053,who is a french mathematician?,['A. O. L. Atkin'],,,,,,,,,,,,
2054,What genre of music is the jazz soul of little stevie?,[nan],,,,,,,,,,,,
2055,is dan hicks male or female?,[nan],,,,,,,,,,,,
2056,what type of music is the album off the beaten track in?,[nan],,,,,,,,,,,,
2057,where was andrew hoffman born?,"['Fairfax, Virginia']",,,,,,,,,,,,
2058,what nationality is homi adajania,[nan],,,,,,,,,,,,
2059,Which position does john olufemi play?,['Forward (association football)'],,,,,,,,,,,,
2060,where in romania did ignat bednarik die?,['Bucharest'],,,,,,,,,,,,
2061,What is kevin cadogan profession?,['Songwriter'],,,,,,,,,,,,
2062,is mitchel mclaughlin male or female,[nan],,,,,,,,,,,,
2063,what is herman of alaska's gender?,[nan],,,,,,,,,,,,
2064,What films was nicolas roeg a cinematographer on?,['A Funny Thing Happened on the Way to the Forum (film)'],,,,,,,,,,,,
2065,what position does leon murray play?,['Quarterback'],,,,,,,,,,,,
2066,"which instrument in the band did carlton \\""carly\\"" barrett play",['Singing'],,,,,,,,,,,,
2067,who was born in mexico city,['Alejandro Springall'],,,,,,,,,,,,
2068,What was the place of death of bill stalker,['Australia'],,,,,,,,,,,,
2069,what kind of album is collection 005,[nan],,,,,,,,,,,,
2070,where was bruce tarr born in,"['Gloucester, Massachusetts']",,,,,,,,,,,,
2071,what kind of metal does the band angelus apatrida play,['Thrash metal'],,,,,,,,,,,,
2072,Where was alwyn uytingco born,['Quezon City'],,,,,,,,,,,,
2073,What is d-nice's profession?,['Jockey'],,,,,,,,,,,,
2074,Who wrote soul of the fire?,['Terry Goodkind'],,,,,,,,,,,,
2075,Who is an officer of the armed forces?,['Archibald McMurdo'],,,,,,,,,,,,
2076,what type of rock artist is the mae shi,['Experimental rock'],,,,,,,,,,,,
2077,which type of music is the voice 2 ～cover lovers rock～ album,[nan],,,,,,,,,,,,
2078,Name a film producer.,['Agostino Bonello'],,,,,,,,,,,,
2079,What company did martha stewart fund,['Martha Stewart Living Omnimedia'],,,,,,,,,,,,
2080,what musician uses psychedelic rock,['1983... (A Merman I Should Turn to Be)'],,,,,,,,,,,,
2081,Where was lee hazlewood when he died,"['Henderson, Nevada']",,,,,,,,,,,,
2082,what type of music is time fades away?,[nan],,,,,,,,,,,,
2083,Name a woman who was born in massachusetts,['A. David Mazzone'],,,,,,,,,,,,
2084,Where is brighton and hove located?,['United Kingdom'],,,,,,,,,,,,
2085,Which country is andreas wisniewski from?,['Berlin'],,,,,,,,,,,,
2086,Name a male model,[nan],,,,,,,,,,,,
2087,Where was dave eggler when he died,"['Buffalo, New York']",,,,,,,,,,,,
2088,Who directed the newton boys?,['Richard Linklater'],,,,,,,,,,,,
2089,What is the genre of the computer videogame mafia wars,['Casual game'],,,,,,,,,,,,
2090,who wrote under the tuscan sun?,['Audrey Wells'],,,,,,,,,,,,
2091,what is an English indie rock band from kent,['3D Friends'],,,,,,,,,,,,
2092,who directed the lovers on the bridge?,['Leos Carax'],,,,,,,,,,,,
2093,where was johann palisa born?,['Austrian Empire'],,,,,,,,,,,,
2094,Who is a famous person born in emporium,[nan],,,,,,,,,,,,
2095,who is man born in levittown,['Earl Williams (basketball player)'],,,,,,,,,,,,
2096,Name an actor,['A. J. Bowen'],,,,,,,,,,,,
2097,Who directed the film annie,['Rob Marshall'],,,,,,,,,,,,
2098,Name a alternative rock artist.,['Again (Alice in Chains song)'],,,,,,,,,,,,
2099,in which city of New Jersey was nick picciuto born,"['Newark, New Jersey']",,,,,,,,,,,,
2100,geoffrey was the son of who?,['Henry II of England'],,,,,,,,,,,,
2101,Who is a baseball player that plays pitcher?,['A.J. Puckett'],,,,,,,,,,,,
2102,"what is the name of the city where  john brewster, jr. was born",[nan],,,,,,,,,,,,
2103,What episode of Star Trek was lee sheldon a writer on,['Temüjin (video game)'],,,,,,,,,,,,
2104,where did the siege of srebrenica take place,['Republic of Bosnia and Herzegovina'],,,,,,,,,,,,
