"Question";"First 3 Words";"Last 3 Words"
"Give me everything owned by networks which is lead by Steve Burke?";"Give me everything";" by Steve Burke?"
"How many writers worked on the album Main Course?";"How many writers";" album Main Course?"
"Name the common university of the Cardinal and Jim Wylie?";"Name the common";" and Jim Wylie?"
"What are some important people in NGOs headed by Donna Shalala?";"What are some";" by Donna Shalala?"
"How many fictional characters are there in a series in which Craig Robinson acted?";"How many fictional";" Craig Robinson acted?"
"How many owners owned the clubs participating in the Premier leagues of '14?";"How many owners";" leagues of '14?"
"Who is the stock holder of the bank where  Peter Grauer works  ?";"Who is the";" works  ?"
"Which parties have their members live in the PM House, Colombo?";"Which parties have";" PM House, Colombo?"
"List down the TV shows whose producer is Stephen E. Ambros and writer is John Orloff ?";"List down the";" John Orloff ?"
"Where was Ne daj se, Nina first aired ?";"Where was Ne";" first aired ?"
"Who founded the city at the end of the Pittsburgh Line route?";"Who founded the";" Pittsburgh Line route?"
"Is Judy Garland a character of End of the Rainbow?";"Is Judy Garland";" of the Rainbow?"
"What are some US citizens famous for?";"What are some";" citizens famous for?"
"Which river's mouth is located in Gulf of Mexico and has source location as Itasca State Park ?";"Which river's mouth";" State Park ?"
"Which president of Lance Adams-Schneider had nickname Daniel O'Regan?";"Which president of";" nickname Daniel O'Regan?"
"Name the river with mouth as Thames Estuary and passes through Reading Berkshire ?";"Name the river";" Reading Berkshire ?"
"Where is the building located whose architect was Francis Palmer Smith?";"Where is the";" Francis Palmer Smith?"
"How many corporations were founded in Texas?";"How many corporations";" founded in Texas?"
"What mountains are in sierra nevada?";"What mountains are";" in sierra nevada?"
"Where did Marvo originate?";"Where did Marvo";" did Marvo originate?"
"Which football team is in a city where A J Clark was a builder?";"Which football team";" was a builder?"
"What is the residence of the person, who starred in Men Will Be Men ?";"What is the";" Be Men ?"
"For which games are Sam Loyd and Eric Schiller both famous?";"For which games";" Schiller both famous?"
"How many other awards have been given to people who have won the Golden Globe?";"How many other";" the Golden Globe?"
"Where are the politicians buried who succeeded George Whitefield Davis?";"Where are the";" George Whitefield Davis?"
"Which magazine's editor is married to Crystal Harris?";"Which magazine's editor";" to Crystal Harris?"
"What cities are around the sea which flows into Marmara?";"What cities are";" flows into Marmara?"
"Name a office holder whose predecessor is Edward Douglass White and has son named Charles Phelps Taft II?";"Name a office";" Phelps Taft II?"
"Who was the chairman of Fort Lauderdale Strikers and also 2015 Fort Lauderdale Strikers season ?";"Who was the";" Strikers season ?"
"Which music band made Take Me There, and to which Tedd Riley was associated?";"Which music band";" Riley was associated?"
"What is the mountain whose parent mountain peak is Nevado de Toluca?";"What is the";" Nevado de Toluca?"
"Who is the cover artist of Doctor Mirabilis (novel)?";"Who is the";" Doctor Mirabilis (novel)?"
"For how many other teams have the former players of Boston Bruins played?";"For how many";" Boston Bruins played?"
"Name the appliance produced by Foxconn and its OS is provided by PlayStation 3 system software?";"Name the appliance";" 3 system software?"
"How many teams have used the stadium which hosted the WCW mayhem?";"How many teams";" the WCW mayhem?"
"What is the title of Kakae?";"What is the";" title of Kakae?"
"In which city are buildings by Solon Spencer Beman found?";"In which city";" Spencer Beman found?"
"Who developed the software which is used as operating system of Magic Trackpad ?";"Who developed the";" Magic Trackpad ?"
"Name the champion of National League?";"Name the champion";" of National League?"
"What are some products of the the company whose subsidiary is Sony Corp shareholders and subsidies?";"What are some";" shareholders and subsidies?"
"How many games are played at universities in Metro Manilla?";"How many games";" in Metro Manilla?"
"List the successor of successor of Hayden, Stone & Co.";"List the successor";" Stone & Co."
"What sporting goods companies are located in Herzogenaurach?";"What sporting goods";" located in Herzogenaurach?"
"Name the office holder whose spouse is Dolley Madison and belongs to Militia branch ?";"Name the office";" Militia branch ?"
"In which war did the units garrisoned at Turin fight?";"In which war";" at Turin fight?"
"Muhammad Yunus has won how many awards?";"Muhammad Yunus has";" how many awards?"
"How many mountain are there in Sierra Nevada range?";"How many mountain";" Sierra Nevada range?"
"What were the occupations of Marcus Floyd?";"What were the";" of Marcus Floyd?"
"What are the awards won by the film director of Saraband ?";"What are the";" of Saraband ?"
"Did Stan Lee narrate The Incredible Hulk tv show?";"Did Stan Lee";" Hulk tv show?"
"Name the people whose residence is Beverly Hills, California?";"Name the people";" Beverly Hills, California?"
"Which person naratted The Incredible Hulk and also the writer of Tales of Suspense?";"Which person naratted";" Tales of Suspense?"
"What has been founded in the state that Denton county, Texas is a part of? ";"What has been";" a part of? "
"List the television shows whose network's executive officer is Steve Burke.";"List the television";" is Steve Burke."
"What are the nearest city to the historic places whose one of the nearest city is Wisconsin?";"What are the";" city is Wisconsin?"
"What is debut team of the baseball players who died in Los Angeles?";"What is debut";" in Los Angeles?"
"Among the companies who has product named Chinook who has a key person as Dennis Muilenburg ?";"Among the companies";" Dennis Muilenburg ?"
"Which football players have Newell's Old Boys as youthclub?";"Which football players";" Boys as youthclub?"
"Which battle did both Steven Palazao and tony hogg fight in?";"Which battle did";" hogg fight in?"
"Which soccer players are currently playing for NYC FC?";"Which soccer players";" for NYC FC?"
"How many games have been composed by Hirokazu Tanaka?";"How many games";" by Hirokazu Tanaka?"
"What is the total number of software whose programming language is C++ and operating system is Microsoft Windows?";"What is the";" is Microsoft Windows?"
"tell me the school to which Cyril Hume went?";"tell me the";" Cyril Hume went?"
"Name the fictional character whose relatives are Huey, Dewey, and Louie and belongs to Duck family ?";"Name the fictional";" Duck family ?"
"In which country is there a dam on the Awash river?";"In which country";" the Awash river?"
"Who is the american football player whose highschool is Ringgold High School (Pennsylvania)?";"Who is the";" High School (Pennsylvania)?"
"Companies founded in Taiwan have typically which divisions?";"Companies founded in";" typically which divisions?"
"How many other ingredient are there in the foods which have one of the ingredient as Potato ?";"How many other";" as Potato ?"
"What teams did the ex teamplayers of lighthouse boy club start their career with?";"What teams did";" their career with?"
"What awards did Jos Rivera (playwright) win?";"What awards did";" Rivera (playwright) win?"
"Count number of people who follow a religion which has an important office in Gold Base?";"Count number of";" in Gold Base?"
"Name the office holder who has a child named Lori Black and resting place is Alta Mesa Memorial Park?";"Name the office";" Mesa Memorial Park?"
"Which company owns instagram?";"Which company owns";" company owns instagram?"
"List the characters of Lysistrata ?";"List the characters";" of Lysistrata ?"
"Who all have been judges on CTV Network's shows?";"Who all have";" CTV Network's shows?"
"List the houses of Parliament of India ?";"List the houses";" of India ?"
"Cleopatra V of Egypt is mother to which royalty?";"Cleopatra V of";" to which royalty?"
"Which range of mountains are there in canton of Fribourg?";"Which range of";" canton of Fribourg?"
"Which rivers start in a country whose leader is Irene Mambilima?";"Which rivers start";" is Irene Mambilima?"
"Give me the total number of membership of the organisations which have memebers as Azerbaijan?";"Give me the";" memebers as Azerbaijan?"
"where is the thorington train station located?";"where is the";" train station located?"
"In which ice hockey league, did the team coached by Joel Quenneville win?";"In which ice";" Joel Quenneville win?"
"Which TV show had a judge named Harry Connick, Jr. and was presented by Ryan Seacrest?";"Which TV show";" by Ryan Seacrest?"
"Who is the father of Barbara Ann Crancer?";"Who is the";" Barbara Ann Crancer?"
"What is the military rank of the important commander of Peruvian Army?";"What is the";" of Peruvian Army?"
"Who operates Liverpool Playhouse ?";"Who operates Liverpool";" Liverpool Playhouse ?"
"Where is the fictional character from, whose last appearance was in the Avengers, 1998?";"Where is the";" the Avengers, 1998?"
"List the leaders of all the cities through which the Ganga river flows ?";"List the leaders";" river flows ?"
"What is the sea connected to Oulu and Turku?";"What is the";" Oulu and Turku?"
